"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
596,71,362,2,2,-0.552916383946284,-0.688468466739472,669,-0.941415698485332
597,67,324,1,1,-0.553355889999205,-0.702316273072659,681,-0.989143183503929
598,243,86,1,1,-0.553567209336412,0.180380620365082,175,2.11404386129015
599,635,252,1,1,-0.555602509154525,-0.348349100791642,386,0.260776612832163
600,373,225,1,1,-0.556080564396216,-0.63228840138837,613,-0.740600053973121
601,247,55,1,1,-0.557295131310858,-0.655399689685764,634,-0.821646726646211
602,38,74,1,1,-0.55748272547538,-0.704919876193358,683,-0.996347332185982
603,403,331,1,1,-0.55780002014213,-0.676092730713767,657,-0.893688213466735
604,179,116,1,1,-0.55833590639585,-0.721979080415485,702,-1.05668207739817
605,408,10,1,1,-0.559096572154827,-0.230839956964147,317,0.687622422243768
606,415,133,1,1,-0.55935441172196,-0.65727480120481,637,-0.826149319572494
607,581,284,1,1,-0.560165260341625,-0.450316372017019,457,-0.089525116832635
608,472,210,1,1,-0.560689700874214,-0.521288265362621,518,-0.340769802119213
609,324,163,1,1,-0.560987843837481,-0.575222507492062,564,-0.532580260778858
610,718,279,1,1,-0.561382087484987,-0.543455531998703,538,-0.418214400451276
611,72,72,1,1,-0.561401190995961,-0.698389315385645,678,-0.971132811798798
612,666,78,2,2,-0.561842056077666,-0.395567426262062,417,0.109489490509063
613,283,267,1,1,-0.562559907610736,-0.679209295376458,659,-0.901792880734044
614,477,47,1,1,-0.562632085533,-0.753881839846431,721,-1.16834638196998
615,29,317,1,1,-0.562648519178918,-0.407581071787537,427,0.068966154172518
616,616,134,1,1,-0.56303370263454,-0.439115274816464,444,-0.0426981503992945
617,541,223,1,1,-0.563227696764393,-0.651248580736703,628,-0.80093479918531
618,643,103,1,1,-0.56364568968084,-0.437897529979382,442,-0.0372950388877551
